Accession ID,Virus name,City,Province,Country,Collection date
EPI_ISL_407073,BetaCoV/England/02/2020,,,England,2020/1/29
EPI_ISL_407079,BetaCoV/Finland/1/2020,,Lapland,Finland ,2020/1/29
EPI_ISL_407084,BetaCoV/Japan/AI/I-004/2020,,Aichi,Japan,2020/1/25
EPI_ISL_407193,BetaCoV/Korea/KCDC03/2020,,Gyeonggi-do,Korea,2020/1/25
EPI_ISL_407214,BetaCoV/USA/WA1-A12/2020,Washington,Washington,USA,2020/1/25
EPI_ISL_407215,BetaCoV/USA/WA1-F6/2020,Washington,Washington,USA,2020/1/25
EPI_ISL_407313,BetaCoV/Hangzhou/HZCDC0001/2020,Hangzhou,Zhejiang,China,2020/1/19
EPI_ISL_407893,BetaCoV/Australia/NSW01/2020,Sydney,New South Wales,Australia,2020/1/24
EPI_ISL_407894,BetaCoV/Australia/QLD01/2020,Gold Coast,Queensland,Australia,2020/1/28
EPI_ISL_407896,BetaCoV/Australia/QLD02/2020,Gold Coast,Queensland,Australia,2020/1/30
EPI_ISL_407976,BetaCoV/Belgium/GHB-03021/2020,Leuven,Flemish,Belgium,2020/2/3
EPI_ISL_407987,BetaCoV/Singapore/2/2020,,,Singapore,2020/1/25
EPI_ISL_407988,BetaCoV/Singapore/3/2020,,,Singapore,2020/2/1
EPI_ISL_408008,BetaCoV/USA/CA3/2020,,California,USA,2020/1/29
EPI_ISL_408009,BetaCoV/USA/CA4/2020,,California,USA,2020/1/29
EPI_ISL_408010,BetaCoV/USA/CA5/2020,,California,USA,2020/1/29
EPI_ISL_408068,BetaCoV/Italy/INMI1/2020, Rome,Lazio,Italy,2020/1/29
EPI_ISL_408430,BetaCoV/France/IDF0515/2020,Paris,Ile-de-France,France,2020/1/29
EPI_ISL_408431,BetaCov/France/IDF0626/2020,Paris,Ile-de-France,France,2020/1/29
EPI_ISL_408478,BetaCoV/Chongqing/YC01/2020,Yongchuan,Chongqinq,China,2020/1/21
EPI_ISL_408479,BetaCoV/Chongqing/ZX01/2020,Zhongxian,Chongqing,China,2020/1/23
